Club or Lodge,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,—,C,C,—,
"College and
University Facilities",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,C,
"Communication
Service Facilities",P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,
Community Events,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
"Community
Recreation (Private)",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,
"Community
Recreation (Public)",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,
Congregate Living,—,—,—,—,—,—,—,—,—,C,C,C,C,C,C,C,C,C,P,—,
"Convalescent
Services",—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,—,—,P,P,—,
Convention Center,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Counseling
Services",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,P,P,P,P,
Cultural Services,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,—,P,P,P,
Detention Facilities,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Employee
Recreation",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Guidance Services,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,P,—,
"Hospital Services
(General)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,—,
"Hospital Services
(Limited)",—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,—,—,C,P,C,
"Local Utility
Services",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,C,
"Maintenance and
Service Facilities",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Major Public
Facilities",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Major Utility
Facilities",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
