• Dorm or other residence,1 space for each 2 residents,
• Gymnasium or classroom,1 space for each 500 sq. ft.,
• Administrative or office,1 space for each 275 sq. ft.,
Communication service facilities,Schedule A,Schedule C
"Community events
Community recreation (private or public)",Schedule B,Schedule B
"Congregate living
Convalescent services","1 space for each 4 beds, plus 1 space for each 2 employees (largest
shift)",Schedule C
"Convention center
Counseling services",Schedule B,Schedule B
Cultural services,1 space for each 500 sq. ft.,Schedule B
"Day care services (commercial, general, or
limited)",1 space for each employee,Schedule B
Detention facilities,Schedule B,Schedule B
Family home,2 spaces for each dwelling unit,None
Group home,Schedule B,None
Guidance services,,Schedule B
• Residential,1 space for each 4 beds,
• Nonresidential,1 space for each 275 sq. ft.,
Hospital service (general),"1 space for each 4 beds, plus 1 space for each 2 employees (largest
shift)",Schedule C
Hospital services (limited),1 space for each 200 sq. ft.,Schedule C
Local utility services,Schedule B,Schedule B
"Maintenance and service facilities
Major utility facilities",Schedule A,Schedule B
"Military installations
Park and recreation services",Schedule B,Schedule B
Postal facilities,Schedule B,Schedule C
Public assembly,1 space for each 5 persons capacity,Schedule B
Public or private primary educational facilities,1.5 spaces for each staff member,Schedule B
"Public or private secondary educational
facilities","1.5 spaces for each staff member plus 1 space for each 3 students
enrolled in 11th and 12th grades",Schedule B
