"• <10,000 sq. ft.",1 space for each 25 sq. ft.,
Commercial blood plasma center,1 space for each 275 sq. ft.,Schedule C
Commercial off-street parking,None,None
"Communication services
Construction sales and services",Schedule A,Schedule C
Consumer convenience services,Schedule B,None
Consumer repair services,1 space for each 275 sq. ft.,Schedule C
Convenience storage,"1 space for each 4,000 sq. ft.",Schedule B
Drop-off recycling collection facility,Schedule B,Schedule B
Electronic prototype assembly,1 space for each 275 sq. ft.,Schedule C
Electronic testing,1 space per 300 sq. ft.,Schedule G
"Equipment repair services
Equipment sales",Schedule A,Schedule C
Exterminating services,"1 space for each 1,000 sq. ft.",Schedule C
Financial services,,Schedule C
• Building,1 space for each 275 sq. ft.,
• Drive-in service,8 queue spaces for each service lane,
• ATM (drive-up),2 queue spaces for each service lane,
• ATM (walk-up),None,
Food preparation,Schedule A,Schedule C
Food sales,1 space for each 275 sq. ft.,Schedule C
Funeral services,1 space for each 5 persons capacity,Schedule B
Furniture or carpet store,1 space for each 500 sq. ft.,Schedule C
"General retail sales and services (convenience
or general)",1 space for each 275 sq. ft.,Schedule C
Hotel-motel,1.1 spaces for each room,Schedule C
• Other uses within hotel-motel,"If not an accessory use, 80% of the parking otherwise required by this
table for the use",
Indoor entertainment,,Schedule C
• Meeting hall,1 space for each 50 sq. ft.,
