2024 INTERNATIONAL WILDLAND-URBAN INTERFACE CODE®,
TABLE C101.1—FIRE HAZARD SEVERITY FORM,
PART 1,
A. Subdivision Design Points,
1. Ingress/Egress,
Two or more primary roads,1__
"One road, 30 or less dwelling units (two-way)",3__
"One road, more than 30 dwelling units (two-way)",5__
One road (one way direction),10__
2. Width of Primary Road,
25 feet (7620 mm) or more,1__
Less than 25 feet (7620 mm) to 20 feet (6096 mm),3__
Less than 20 feet (6096 mm),5__
3. Accessibility,
Road grade 5% or less,1__
Road grade more than 5%,3__
4. Secondary Road Terminus,
"Loop roads, cul-de-sacs with an outside turning radius of 50 feet (15 240 mm) or greater",1__
Cul-de-sac turnaround,2__
Dead-end roads 150 feet (45 720 mm) or less in length,3__
Dead-end roads greater than 150 feet (45 720 mm) in length,5__
"5. Site Specific Access (fire lanes, driveways)",
Fire lane provided,1__
