"General
Warehousing and
Distribution",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Light
Manufacturing",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Limited
Warehousing and
Distribution",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Recycling Center,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Resource
Extraction",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
AGRICULTURAL USES,,,,,,,,,,,,,,,,,,,,,
Animal Production,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Community Garden,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,
Crop Production,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Horticulture,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Indoor Crop
Production",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Support Housing,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Urban Farm,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,
CIVIC USES,,,,,,,,,,,,,,,,,,,,,
"Administrative
Services",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Adult Care Services
(General)",P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,
"Adult Care Services
(Limited)",P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,—,
Aviation Facilities,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Camp,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Cemetery,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Child Care Services
(General)",P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,
"Child Care Services
(Limited)",P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,
