"Qualified community garden
Railroad facilities",Schedule B,Schedule B
Religious assembly,,Schedule B
"• Within mixed use shopping center or
building",1 space for each 275 sq. ft.,
• Stand-alone,Schedule B,
Residential treatment,1 space for each 4 residents,Schedule B
"Safety services
Telecommunication tower",Schedule B,Schedule B
Transitional housing,"1 space for each 4 beds, plus 1 space for each 2 employees (largest
shift)",Schedule C
Transportation terminals,Schedule B,Schedule B
Agricultural Uses,,
"Animal production
Crop production",None,None
Community garden,Schedule B,None
"Horticulture
Support housing
Urban farm",Schedule B,None
