"Indoor
Entertainment",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,
"Indoor Sports and
Recreation",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,
Kennels,—,C,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Laundry Services,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Liquor Sales,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Marina,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,P,
"Medical Offices—
exceeding 5,000 sq.
ft. gross floor area",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,P,P,—,
"Medical Offices—
not exceeding
5,000 sq. ft. gross
floor area",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,P,P,—,
"Monument Retail
Sales",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Off-Site Accessory
Parking 14",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,CP,P,—,
"Outdoor
Entertainment",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,
"Outdoor Sports
and Recreation",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,P,
"Pawn Shop
Services",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Pedicab Storage
and Dispatch",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Performance
Venue",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,
"Personal
Improvement
Services",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,P,
Personal Services,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,P,—,
Pet Services,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Plant Nursery,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
