"Commercial Blood
Plasma Center",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Commercial Off-
Street Parking",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Communications
Services",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,P,P,—,
"Construction Sales
and Services",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Consumer
Convenience
Services",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,
"Consumer Repair
Services",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Convenience
Storage",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Drop-Off Recycling
Collection Facility",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Electronic
Prototype
Assembly 15",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Electronic Testing
16",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Equipment Repair
Services",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Equipment Sales,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"Exterminating
Services",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Financial Services,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Food Preparation,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Food Sales,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Funeral Services,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"General Retail Sales
(Convenience)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
"General Retail Sales
(General)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Hotel-Motel,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,
