"Flammable and combustible
liquids and gases",Aerosols,"Buildings and structures occupied for the storage of aerosol products,
aerosol cooking spray products, or plastic aerosol 3 products shall be
classified as Group S-1."
,Alcoholic beverages,"The quantity of alcoholic beverages in liquor stores and distributors without
bulk storage is not limited."
,,The quantity of alcoholic beverages in brewing is not limited.
,,"The storage quantity of beer, distilled spirits and wines in barrels and asks is
not limited."
,,"Alcoholic beverages in retail and wholesale occupancies is not limited. To
qualify for this allowance, beverages must be packaged in individual
containers not exceeding 1.3 gallons."
,"Cleaning establishments with
combustible liquid solvents","The quantity of combustible liquid solvents used in closed systems and
having a flash point at or above 140 F is not limited. To qualify for this
allowance, equipment shall be listed by an approved testing agency and the
occupancy shall be separated from all other areas of the building by 1-hour
fire barriers or 1-hour horizontal assemblies, or both, constructed in
accordance with the International Building Code."
,,"The quantity of combustible liquid solvents having a flash point at or above
200 F is not limited."
,Closed piping systems,"The quantity of flammable and combustible liquids and gases utilized for the
operation of machinery or equipment is not limited."
,"Flammable finishing
operations using flammable
and combustible liquids","Building and structured occupied for the application of flammable finishes
shall comply with Section 416."
,Fuel,"The quantity of liquid or gaseous fuel in fuel tanks of vehicles or motorized
equipment is not limited."
,,"The quantity of gaseous fuels in piping systems and fixed appliance
regulated by the International Fuel Gas Code is not limited."
,,"The quantity of liquid fuels in piping systems and fixed appliances regulated
by the International Mechanical Code is not limited."
,Hand Sanitizer,"The quantity of alcohol-based hand rubs (ABHR) classified as Class I or II
liquids in dispensers installed in accordance with Sections 5705.5 and
5705.5.1 is not limited. The location of the ABHR shall be provided in the
construction documents."
,"Retail and wholesale
occupancies with flammable
and combustible liquids","The quantity of medicines, foodstuffs or consumer products, and cosmetics
containing not more than 50 percent by volume of water-miscible liquids,
with the remainder of the solutions not being flammable, is not limited.
To qualify for this allowance, such materials shall be packaged in individual
containers not exceeding 1.3 gallons."
